location,iso_code,corruption_control,cpi,governament_effectiveness,healthcare_expenditure,number_of_arrivals,political_regime,trust_in_governance,government_type,wave,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
Australia,AUS,1.825413,77,1.571555,4793.46,9466000.0,3,46.8700014928596,1,1,25788217.0,3.202,37.9,44648.71,7911.0,104.0,2158828.0,0.0,0.0
Australia,AUS,1.825413,77,1.571555,4793.46,9466000.0,3,46.8700014928596,1,2,25788217.0,3.202,37.9,44648.71,2606.0,252.0,2641803.0,0.0,0.0
Australia,AUS,1.825413,77,1.571555,4793.46,9466000.0,3,46.8700014928596,1,3,25788217.0,3.202,37.9,44648.71,1825.0,1.0,3768641.0,0.0,7298477.0
Australia,AUS,1.825413,77,1.571555,4793.46,9466000.0,3,46.8700014928596,1,4,25788217.0,3.202,37.9,44648.71,180454.0,1105.0,11712836.0,0.0,20829569.0
Austria,AUT,1.557738,77,1.527737,5544.767,31884000.0,3,51.2338260131346,2,1,9043072.0,106.749,44.4,45436.686,17766.0,705.0,595922.0,8468.0,0.0
Austria,AUT,1.557738,77,1.527737,5544.767,31884000.0,3,51.2338260131346,2,2,9043072.0,106.749,44.4,45436.686,333377.0,5489.0,2597772.0,39847.0,4431.0
Austria,AUT,1.557738,77,1.527737,5544.767,31884000.0,3,51.2338260131346,2,3,9043072.0,106.749,44.4,45436.686,236014.0,2981.0,45740498.0,48891.0,7601857.0
Austria,AUT,1.557738,77,1.527737,5544.767,31884000.0,3,51.2338260131346,2,4,9043072.0,106.749,44.4,45436.686,546758.0,2510.0,38699919.0,30637.0,4843225.0
Belgium,BEL,1.485347,75,1.148132,5358.892,9343000.0,3,32.7901154348457,1,1,11632334.0,375.564,41.8,42658.576,61427.0,9747.0,1274263.0,55517.0,0.0
Belgium,BEL,1.485347,75,1.148132,5358.892,9343000.0,3,32.7901154348457,1,2,11632334.0,375.564,41.8,42658.576,561260.0,9633.0,4655297.0,74548.0,595.0
Belgium,BEL,1.485347,75,1.148132,5358.892,9343000.0,3,32.7901154348457,1,3,11632334.0,375.564,41.8,42658.576,374978.0,4081.0,7065344.0,79588.0,10724515.0
Belgium,BEL,1.485347,75,1.148132,5358.892,9343000.0,3,32.7901154348457,1,4,11632334.0,375.564,41.8,42658.576,783605.0,2305.0,7039114.0,33645.0,3826245.0
Brazil,BRA,-0.3365895,35,-0.1869027,1454.76,6353000.0,2,34.0850087334004,5,1,213993441.0,25.04,33.5,14103.452,1402041.0,59594.0,831680.0,0.0,0.0
Brazil,BRA,-0.3365895,35,-0.1869027,1454.76,6353000.0,2,34.0850087334004,5,2,213993441.0,25.04,33.5,14103.452,3767701.0,73568.0,9946112.0,0.0,0.0
Brazil,BRA,-0.3365895,35,-0.1869027,1454.76,6353000.0,2,34.0850087334004,5,3,213993441.0,25.04,33.5,14103.452,9352410.0,293562.0,20104508.0,0.0,99083343.0
Brazil,BRA,-0.3365895,35,-0.1869027,1454.76,6353000.0,2,34.0850087334004,5,4,213993441.0,25.04,33.5,14103.452,1268799.0,36557.0,126242.0,0.0,127425027.0
Canada,CAN,1.767164,77,1.731293,5330.848,32430000.0,3,54.9280966328576,1,1,38067913.0,4.037,41.4,44017.591,106025.0,8780.0,2892435.0,36269.0,0.0
Canada,CAN,1.767164,77,1.731293,5330.848,32430000.0,3,54.9280966328576,1,2,38067913.0,4.037,41.4,44017.591,456580.0,6569.0,11818261.0,40736.0,98435.0
Canada,CAN,1.767164,77,1.731293,5330.848,32430000.0,3,54.9280966328576,1,3,38067913.0,4.037,41.4,44017.591,639435.0,6255.0,15175214.0,131721.0,36650927.0
Canada,CAN,1.767164,77,1.731293,5330.848,32430000.0,3,54.9280966328576,1,4,38067913.0,4.037,41.4,44017.591,347142.0,3033.0,9289386.0,63218.0,10066450.0
Chile,CHL,1.066971,67,1.060289,2131.03,5431000.0,2,15.2523450266274,5,1,19212362.0,24.282,35.4,22767.037,279393.0,5688.0,1101769.0,0.0,0.0
Chile,CHL,1.066971,67,1.060289,2131.03,5431000.0,2,15.2523450266274,5,2,19212362.0,24.282,35.4,22767.037,197247.0,5319.0,4019046.0,0.0,8237.0
Chile,CHL,1.066971,67,1.060289,2131.03,5431000.0,2,15.2523450266274,5,3,19212362.0,24.282,35.4,22767.037,828793.0,14093.0,8710129.0,0.0,23021256.0
Chile,CHL,1.066971,67,1.060289,2131.03,5431000.0,2,15.2523450266274,5,4,19212362.0,24.282,35.4,22767.037,146449.0,1786.0,6064343.0,0.0,13272225.0
Colombia,COL,-0.2363339,37,0.0707119,1195.354,4529000.0,2,32.7981098741416,5,1,51265841.0,44.223,32.2,13254.949,97846.0,3334.0,390131.0,0.0,0.0
Colombia,COL,-0.2363339,37,0.0707119,1195.354,4529000.0,2,32.7981098741416,5,2,51265841.0,44.223,32.2,13254.949,1027681.0,23551.0,5367755.0,0.0,0.0
Colombia,COL,-0.2363339,37,0.0707119,1195.354,4529000.0,2,32.7981098741416,5,3,51265841.0,44.223,32.2,13254.949,2146098.0,52561.0,9829538.0,0.0,12929074.0
Colombia,COL,-0.2363339,37,0.0707119,1195.354,4529000.0,2,32.7981098741416,5,4,51265841.0,44.223,32.2,13254.949,188594.0,4260.0,4452378.0,0.0,15148305.0
Costa Rica,CRI,0.7027699,56,0.4225595,1548.048,3366000.0,3,28.3023851778735,5,1,5139053.0,96.079,33.6,15524.995,3459.0,16.0,32502.0,0.0,0.0
Costa Rica,CRI,0.7027699,56,0.4225595,1548.048,3366000.0,3,28.3023851778735,5,2,5139053.0,96.079,33.6,15524.995,128034.0,1749.0,296223.0,0.0,0.0
Costa Rica,CRI,0.7027699,56,0.4225595,1548.048,3366000.0,3,28.3023851778735,5,3,5139053.0,96.079,33.6,15524.995,174662.0,2063.0,740043.0,0.0,0.0
Costa Rica,CRI,0.7027699,56,0.4225595,1548.048,3366000.0,3,28.3023851778735,5,4,5139053.0,96.079,33.6,15524.995,104579.0,1827.0,407268.0,0.0,0.0
Denmark,DNK,2.161119,87,1.910211,5316.577,32903000.0,3,63.2999031726247,1,1,5813302.0,136.52,42.3,46682.515,12968.0,605.0,1064589.0,4213.0,0.0
Denmark,DNK,2.161119,87,1.910211,5316.577,32903000.0,3,63.2999031726247,1,2,5813302.0,136.52,42.3,46682.515,146706.0,674.0,8057688.0,4105.0,0.0
Denmark,DNK,2.161119,87,1.910211,5316.577,32903000.0,3,63.2999031726247,1,3,5813302.0,136.52,42.3,46682.515,95347.0,409.0,21933063.0,5890.0,4423522.0
Denmark,DNK,2.161119,87,1.910211,5316.577,32903000.0,3,63.2999031726247,1,4,5813302.0,136.52,42.3,46682.515,229827.0,457.0,9842697.0,2831.0,1336817.0
