location,iso_code,cpi
Denmark,DNK,87
New Zealand,NZL,87
Finland,FIN,86
Sweden,SWE,85
Switzerland,CHE,85
Norway,NOR,84
Netherlands,NLD,82
Germany,DEU,80
Luxembourg,LUX,80
Iceland,ISL,78
Australia,AUS,77
Austria,AUT,77
Canada,CAN,77
United Kingdom,GBR,77
Belgium,BEL,75
Estonia,EST,74
Ireland,IRL,74
Japan,JPN,73
France,FRA,69
United States of America,USA,69
Chile,CHL,67
Portugal,PRT,62
Spain,ESP,62
Israel,ISR,60
Lithuania,LTU,60
Slovenia,SVN,60
"Korea, South",KOR,59
Poland,POL,58
Costa Rica,CRI,56
Czech Republic,CZE,56
Latvia,LVA,56
Italy,ITA,53
Slovakia,SVK,50
Greece,GRC,48
Hungary,HUN,44
South Africa,ZAF,44
China,CHN,41
India,IND,41
Indonesia,IDN,40
Turkey,TUR,39
Colombia,COL,37
Brazil,BRA,35
Mexico,MEX,29
