iso_code,healthcare_expenditure
AUS,4793.46
AUT,5544.767
BEL,5358.892
CAN,5330.848
CZE,3174.386
DNK,5316.577
FIN,4378.651
FRA,5136.2
DEU,6291.041
GRC,2290.646
HUN,2102.765
ISL,4376.857
IRL,4897.59
ITA,3522.076
JPN,4558.669
KOR,3091.826
LUX,5220.868
MEX,1116.032
NLD,5538.095
NZL,4058.746
NOR,6536.761
POL,2122.841
PRT,3152.797
SVK,2049.468
ESP,3443.656
SWE,5456.547
CHE,6978.086
TUR,1214.124
GBR,4288.654
USA,10528.48
CHL,2131.03
EST,2365.786
ISR,2836.329
SVN,3060.734
BRA,1454.76
CHN,810.845
COL,1195.354
IND,257.403
IDN,336.726
LVA,1867.283
LTU,2414.809
ZAF,1103.532
CRI,1548.048
