location,iso_code,number_of_arrivals
Australia,AUS,9466000.0
Austria,AUT,31884000.0
Belgium,BEL,9343000.0
Brazil,BRA,6353000.0
Canada,CAN,32430000.0
Switzerland,CHE,11818000.0
Chile,CHL,5431000.0
China,CHN,162538000.0
Colombia,COL,4529000.0
Costa Rica,CRI,3366000.0
Czech Republic,CZE,
Germany,DEU,39563000.0
Denmark,DNK,32903000.0
Spain,ESP,126170000.0
Estonia,EST,6103000.0
Finland,FIN,3290000.0
France,FRA,
United Kingdom,GBR,40857000.0
Greece,GRC,34005000.0
Hungary,HUN,61397000.0
Indonesia,IDN,16107000.0
India,IND,17914000.0
Ireland,IRL,10951000.0
Iceland,ISL,2202000.0
Israel,ISR,4905000.0
Italy,ITA,95399000.0
Japan,JPN,31882000.0
"Korea, Rep.",KOR,17503000.0
Lithuania,LTU,6150000.0
Luxembourg,LUX,1041000.0
Latvia,LVA,8342000.0
Mexico,MEX,97406000.0
Netherlands,NLD,20129000.0
Norway,NOR,5879000.0
New Zealand,NZL,3888000.0
Poland,POL,88515000.0
Portugal,PRT,17174000.0
Slovak Republic,SVK,
Slovenia,SVN,4702000.0
Sweden,SWE,7616000.0
Turkey,TUR,51747000.0
United States,USA,166009000.0
South Africa,ZAF,14797000.0
