Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.400733
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.5330888
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.6211485
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,1.844056
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.234696
Angola,AGO,Control of Corruption: Estimate,CC.EST,-1.054451
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,1.234696
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.2784069
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.0762876
Armenia,ARM,Control of Corruption: Estimate,CC.EST,-0.1782838
Aruba,ABW,Control of Corruption: Estimate,CC.EST,1.217546
Australia,AUS,Control of Corruption: Estimate,CC.EST,1.825413
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.557738
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,-0.8379928
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.137568
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,-0.0096477
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-0.9934731
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.196289
Belarus,BLR,Control of Corruption: Estimate,CC.EST,-0.0375447
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.485347
Belize,BLZ,Control of Corruption: Estimate,CC.EST,-0.1957777
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.3385691
Bermuda,BMU,Control of Corruption: Estimate,CC.EST,1.234696
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,1.61838
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.7382592
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,-0.6089352
Botswana,BWA,Control of Corruption: Estimate,CC.EST,0.6905257
Brazil,BRA,Control of Corruption: Estimate,CC.EST,-0.3365895
Brunei Darussalam,BRN,Control of Corruption: Estimate,CC.EST,0.8022829
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,-0.1399162
Burkina Faso,BFA,Control of Corruption: Estimate,CC.EST,-0.2000552
Burundi,BDI,Control of Corruption: Estimate,CC.EST,-1.457849
Cabo Verde,CPV,Control of Corruption: Estimate,CC.EST,0.8325423
Cambodia,KHM,Control of Corruption: Estimate,CC.EST,-1.279862
Cameroon,CMR,Control of Corruption: Estimate,CC.EST,-1.210814
Canada,CAN,Control of Corruption: Estimate,CC.EST,1.767164
Cayman Islands,CYM,Control of Corruption: Estimate,CC.EST,0.4666337
